channelNumb,JulianDay,PossibleDecayLength(MicroSeconds),StartDecay,EndDecay,FirstSignalTimeOverThreshold(nanoseconds),SecondSignalTimeoverThreshold(nanoseconds),PossibleDecayNumber
6899.3,2460440,5.50376,0.652618575,0.652618575,46.25,10,1
6899.2,2460440,1.5275,0.652809577,0.652809577,23.75,28.75,1
6899.2,2460440,2.5525,0.653334218,0.653334218,26.25,10,1
6899.1,2460440,0.59751,0.653733744,0.653733744,32.5,30,1
6899.4,2460440,1.59876,0.654205767,0.654205767,35,33.75,1
6899.1,2460440,1.37751,0.654237322,0.654237322,22.5,17.5,1
6899.1,2460440,1.0475,0.656254663,0.656254663,30,16.25,1
6899.1,2460440,1.56375,0.661905015,0.661905015,27.5,17.5,1
6899.1,2460440,3.21499,0.662124087,0.662124087,27.49,27.51,1
6899.4,2460440,1.63376,0.663604363,0.663604363,30,20,1
6899.1,2460440,2.50249,0.66412227,0.66412227,29.99,32.5,1
6899.4,2460440,3.24,0.664998171,0.664998171,30,45.01,1
6899.2,2460440,0.47751,0.6659147,0.6659147,33.76,19.99,1
6899.4,2460440,0.30249,0.666552243,0.666552243,30,22.5,1
6899.1,2460440,9.85375,0.666727109,0.666727109,31.25,33.76,1
6899.2,2460440,3.5625,0.66704116,0.66704116,30,26.24,1
6899.3,2460440,5.71125,0.66759557,0.66759557,31.25,5.01,1
6899.1,2460440,4.70125,0.667744288,0.667744288,13.75,21.26,1
6899.4,2460440,5.64251,0.668230084,0.668230084,22.5,14.99,1
6899.4,2460440,1.08625,0.669037886,0.669037886,31.26,18.75,1
6899.1,2460440,1.49375,0.671130399,0.671130399,41.25,23.76,1
6899.4,2460440,0.73625,0.673766322,0.673766322,42.5,34.99,1
6899.2,2460440,0.4325,0.674218213,0.674218213,35,16.26,1
6899.1,2460440,1.30126,0.674560022,0.674560022,27.51,22.5,1
6899.2,2460440,5.6075,0.675568931,0.675568931,30,17.5,1
6899.1,2460440,7.08625,0.676344975,0.676344975,20.01,16.26,1
6899.1,2460440,0.4375,0.68020643,0.68020643,18.75,6.25,1
6899.4,2460440,0.4575,0.680285149,0.680285149,43.75,20,1
6899.2,2460440,2.22749,0.680373877,0.680373877,33.75,22.5,1
6899.1,2460440,0.54375,0.681343973,0.681343973,27.49,18.75,1
6899.3,2460440,3.06124,0.682676453,0.682676453,34.99,11.26,1
6899.1,2460440,0.5425,0.684301005,0.684301005,30,25.01,1
6899.1,2460440,6.09001,0.685634033,0.685634034,30,12.5,1
6899.3,2460440,2.73374,0.689542978,0.689542978,32.49,11.26,1
6899.2,2460440,1.6525,0.691884028,0.691884028,32.49,18.75,1
6899.2,2460440,1.1175,0.69448916,0.69448916,39.99,32.5,1
6899.2,2460440,3.65375,0.696592036,0.696592036,36.25,21.26,1
6899.2,2460440,6.53376,0.700116467,0.700116467,27.5,13.75,1
6899.1,2460440,7.5325,0.70052644,0.70052644,10,16.25,1
6899.1,2460440,7.21,0.700868294,0.700868294,31.24,21.25,1
6899.1,2460440,1.11124,0.703036157,0.703036157,28.75,37.51,1
6899.2,2460440,8.98625,0.704074327,0.704074327,27.51,28.76,1
6899.1,2460440,0.47,0.706727683,0.706727683,33.75,27.49,1
6899.2,2460440,2.70375,0.708106542,0.708106542,23.74,15,1
6899.3,2460440,0.6425,0.709231513,0.709231513,28.75,16.25,1
6899.1,2460440,2.135,0.709233111,0.709233111,36.25,32.51,1
6899.4,2460440,1.49,0.710959547,0.710959547,28.75,27.5,1
6899.1,2460440,0.39124,0.711628965,0.711628965,25,20,1
6899.3,2460440,0.815,0.711690116,0.711690116,36.25,17.5,1
6899.1,2460440,0.355,0.714986465,0.714986465,31.25,40,1
6899.3,2460440,0.98375,0.715448304,0.715448304,13.75,30,1
6899.3,2460440,3.74499,0.715700049,0.715700049,33.75,22.5,1
6899.3,2460440,2.26624,0.715921175,0.715921176,34.99,11.25,1
6899.2,2460440,2.4925,0.71655785,0.71655785,33.75,7.49,1
6899.1,2460440,3.54249,0.71700266,0.71700266,33.75,17.51,1
6899.1,2460440,1.86126,0.717597569,0.717597569,31.25,6.24,1
6899.2,2460440,6.69625,0.718081693,0.718081694,33.75,8.74,1
6899.2,2460440,1.29624,0.72066485,0.72066485,27.5,17.51,1
6899.4,2460440,5.19249,0.721206153,0.721206153,28.75,13.76,1
6899.1,2460440,1.75875,0.721852297,0.721852297,27.5,18.75,1
6899.1,2460440,0.76501,0.724156035,0.724156035,28.75,23.74,1
6899.4,2460440,0.5275,0.724262492,0.724262492,30,26.25,1
6899.1,2460440,6.42,0.725045633,0.725045633,11.25,21.26,1
6899.2,2460440,3.28,0.725988824,0.725988824,29.99,12.49,1
6899.3,2460440,6.96249,0.726043104,0.726043104,32.51,7.5,1
6899.1,2460440,3.8375,0.73030358,0.73030358,23.75,21.26,1
6899.4,2460440,4.175,0.730345171,0.730345171,40,25,1
6899.1,2460440,4.95875,0.731121526,0.731121526,36.25,27.49,1
6899.1,2460440,1.7575,0.731260792,0.731260792,33.76,20,1
6899.2,2460440,2.68249,0.731547988,0.731547988,25,26.25,1
6899.3,2460440,2.09125,0.731929341,0.731929341,30,8.75,1
6899.4,2460440,2.7,0.732393843,0.732393843,27.5,17.51,1
6899.1,2460440,2.475,0.732438083,0.732438083,22.5,20,1
6899.1,2460440,8.98625,0.73347621,0.73347621,23.74,31.25,1
6899.3,2460440,1.72,0.734545551,0.734545551,17.5,16.25,1
6899.2,2460440,0.81874,0.735858574,0.735858574,22.5,11.25,1
6899.1,2460440,1.98625,0.737352645,0.737352645,32.5,8.75,1
6899.3,2460440,1.43,0.73755061,0.73755061,36.25,22.5,1
6899.2,2460440,5.275,0.738146644,0.738146644,30,3.75,1
6899.2,2460440,5.22126,0.74007315,0.74007315,38.76,19.99,1
6899.2,2460440,1.29375,0.74328616,0.74328616,28.75,18.74,1
6899.3,2460440,2.73751,0.744554597,0.744554597,38.76,25,1
6899.2,2460440,9.23875,0.74455876,0.74455876,32.5,30,1
6899.1,2460440,5.36751,0.748450909,0.748450909,25.01,25,1
6899.3,2460440,1.165,0.751959301,0.751959301,37.51,20.01,1
6899.1,2460440,1.49,0.753722955,0.753722955,39.99,21.26,1
6899.4,2460440,1.30875,0.755408378,0.755408378,18.75,27.51,1
6899.1,2460440,2.91875,0.755495788,0.755495788,35,30,1
6899.2,2460440,0.34,0.755780967,0.755780967,35,12.5,1
6899.1,2460440,6.425,0.757632982,0.757632982,34.99,28.75,1
6899.1,2460440,1.42249,0.758735471,0.758735471,36.25,34.99,1
6899.3,2460440,6.69625,0.761392365,0.761392365,33.75,16.25,1
6899.4,2460440,2.09873,0.763411284,0.763411284,67.49,15,1
6899.2,2460440,1.63625,0.763611275,0.763611275,33.75,17.51,1
6899.2,2460440,5.36125,0.765137379,0.765137379,34.99,27.5,1
6899.1,2460440,2.23873,0.767573595,0.767573595,27.49,22.5,1
6899.1,2460440,2.90001,0.767942964,0.767942964,32.51,25,1
6899.2,2460440,0.72874,0.768778083,0.768778083,33.75,30,1
6899.2,2460440,0.91625,0.771069785,0.771069785,27.5,21.26,1
6899.1,2460440,0.78251,0.772013151,0.772013151,31.25,17.49,1
6899.1,2460440,0.995,0.774635015,0.774635015,27.5,18.74,1
6899.4,2460440,5.07499,0.775879155,0.775879155,43.74,28.76,1
6899.3,2460440,0.53375,0.777220104,0.777220104,23.75,16.24,1
6899.1,2460440,1.63625,0.777242991,0.777242991,22.49,21.26,1
6899.2,2460440,8.62126,0.77805951,0.77805951,21.25,29.99,1
6899.4,2460440,5.86374,0.778829338,0.778829338,36.25,17.51,1
6899.1,2460440,6.61876,0.779423782,0.779423782,23.77,26.25,1
6899.1,2460440,1.93251,0.78044148,0.78044148,35,27.49,1
6899.2,2460440,4.49249,0.7804865,0.7804865,31.24,18.76,1
6899.4,2460440,2.50624,0.783519909,0.783519909,32.5,28.76,1
6899.1,2460440,3.2525,0.784026319,0.784026319,30,20,1
6899.4,2460440,2.67,0.786284131,0.786284131,34.99,16.26,1
6899.4,2460440,3.54501,0.787339564,0.787339564,55.01,17.5,1
6899.1,2460440,8.31,0.787892182,0.787892182,38.73,31.24,1
6899.1,2460440,1.78001,0.790452021,0.790452021,22.51,18.74,1
6899.3,2460440,2.43252,0.791812035,0.791812035,18.76,19.99,1
6899.4,2460440,2.10626,0.793850694,0.793850694,23.77,18.75,1
6899.2,2460440,3.20999,0.795506191,0.795506191,17.51,13.76,1
6899.4,2460440,3.50377,0.796492624,0.796492624,36.26,29.99,1
6899.3,2460440,5.64375,0.797506614,0.797506615,26.24,10,1
6899.1,2460440,4.09625,0.797725777,0.797725777,32.49,40,1
6899.1,2460440,1.10001,0.799029765,0.799029765,33.76,32.49,1
6899.3,2460440,0.6275,0.800175171,0.800175171,22.49,15,1
6899.2,2460440,2.07749,0.802190658,0.802190658,32.5,16.26,1
6899.2,2460440,0.58499,0.802908726,0.802908726,22.49,15,1
6899.4,2460440,0.55,0.804238278,0.804238278,28.76,28.76,1
6899.3,2460440,2.3425,0.805146476,0.805146476,42.5,27.5,1
6899.4,2460440,0.98249,0.806118691,0.806118691,44.99,31.23,1
6899.4,2460440,2.25501,0.808302782,0.808302782,46.26,26.24,1
6899.4,2460440,2.95751,0.809681812,0.809681812,35,19.98,1
6899.2,2460440,0.8075,0.809802645,0.809802645,22.5,15,1
6899.1,2460440,0.62501,0.810174579,0.810174579,30,18.74,1
6899.1,2460440,1.28,0.81121891,0.81121891,35.01,16.25,1
6899.1,2460440,5.46748,0.811588904,0.811588904,23.73,23.75,1
6899.1,2460440,1.22124,0.811591267,0.811591267,25,12.5,1
6899.4,2460440,1.90625,0.812871869,0.812871869,30,14.99,1
6899.1,2460440,3.2825,0.813385132,0.813385132,11.26,27.49,1
6899.4,2460440,0.40749,0.813755726,0.813755726,36.24,21.27,1
6899.3,2460440,6.4325,0.815161753,0.815161753,16.24,28.75,1
6899.3,2460440,3.64499,0.817514775,0.817514775,30,3.76,1
6899.1,2460440,5.605,0.818432662,0.818432662,31.25,36.25,1
6899.2,2460440,4.67875,0.822456315,0.822456316,31.26,13.75,1
6899.1,2460440,2.02624,0.823007889,0.823007889,17.51,23.75,1
6899.4,2460440,1.62376,0.823118304,0.823118304,25,12.48,1
6899.2,2460440,6.72248,0.824348794,0.824348794,13.74,26.25,1
6899.2,2460440,0.52373,0.824476698,0.824476698,34.98,28.76,1
6899.3,2460440,6.52874,0.824850609,0.824850609,26.24,17.51,1
6899.3,2460440,0.98127,0.828232368,0.828232368,36.27,13.76,1
6899.1,2460440,4.84499,0.829915418,0.829915418,83.73,28.76,1
6899.4,2460440,7.25377,0.830400572,0.830400572,37.5,11.25,1
6899.4,2460440,6.865,0.832982992,0.832982992,25,12.5,1
6899.2,2460440,4.665,0.833127587,0.833127587,32.5,25,1
6899.4,2460440,2.47625,0.835778636,0.835778636,43.76,46.25,1
6899.2,2460440,1.68501,0.836237018,0.836237018,30,11.25,1
6899.1,2460440,2.1575,0.836655397,0.836655397,32.51,33.76,1
6899.2,2460440,1.52376,0.836678512,0.836678512,37.51,10,1
6899.3,2460440,1.7825,0.837500918,0.837500918,18.75,22.5,1
6899.1,2460440,1.59875,0.837693978,0.837693978,38.74,36.25,1
6899.3,2460440,2.46999,0.838075657,0.838075657,19.99,11.26,1
6899.3,2460440,2.1625,0.839050695,0.839050695,43.76,33.76,1
6899.3,2460440,0.2975,0.841579767,0.841579767,33.75,22.5,1
6899.1,2460440,0.87249,0.844045609,0.844045609,40.01,21.27,1
6899.2,2460440,1.87499,0.846004504,0.846004504,23.74,16.24,1
6899.1,2460440,3.65376,0.846711868,0.846711868,28.76,16.26,1
6899.4,2460440,0.30001,0.847632036,0.847632036,41.25,42.49,1
6899.2,2460440,1.46876,0.852264211,0.852264211,31.26,18.74,1
6899.2,2460440,0.52375,0.853091082,0.853091082,30,29.99,1
6899.1,2460440,5.25875,0.854397548,0.854397548,22.51,30.01,1
6899.2,2460440,2.41501,0.855759721,0.855759721,27.5,6.24,1
6899.1,2460440,2.09,0.858477039,0.858477039,32.5,18.74,1
6899.1,2460440,1.43,0.862839225,0.862839225,31.24,16.24,1
6899.1,2460440,6.4575,0.862982963,0.862982963,34.99,23.77,1
6899.1,2460440,0.62,0.868391322,0.868391322,40.01,23.75,1
6899.1,2460440,4.26,0.86848331,0.86848331,23.76,31.25,1
6899.1,2460440,1.21375,0.868544883,0.868544883,28.75,21.25,1
6899.2,2460440,4.83377,0.868882111,0.868882111,27.5,17.49,1
6899.1,2460440,1.05,0.869423898,0.869423898,36.26,21.25,1
6899.1,2460440,1.99125,0.869993922,0.869993922,26.24,22.49,1
6899.1,2460440,3.02499,0.871247301,0.871247301,33.76,23.75,1
6899.3,2460440,4.0525,0.872640248,0.872640248,26.26,14.99,1
6899.4,2460440,5.32624,0.873798544,0.873798544,25.01,17.51,1
6899.3,2460440,8.25752,0.874620988,0.874620989,41.26,26.25,1
6899.1,2460440,3.17,0.87598968,0.87598968,35,25,1
