channelNumb,JulianDay,PossibleDecayLength(MicroSeconds),StartDecay,EndDecay,FirstSignalTimeOverThreshold(nanoseconds),SecondSignalTimeoverThreshold(nanoseconds),PossibleDecayNumber
6899.2,2459722,3.535,0.502867139,0.502867139,33.75,25,1
6899.1,2459722,0.4225,0.503094058,0.503094058,20,15,1
6899.1,2459722,0.90375,0.503321788,0.503321788,21.25,18.75,1
6899.4,2459722,1.55751,0.505337587,0.505337587,30,25,1
6899.1,2459722,8.06876,0.506535878,0.506535878,18.75,31.24,1
6899.2,2459722,0.88501,0.506788948,0.506788948,32.51,18.75,1
6899.1,2459722,2.21375,0.506919216,0.506919216,28.75,22.49,1
6899.4,2459722,2.51375,0.507669897,0.507669897,36.25,22.49,1
6899.1,2459722,0.51124,0.507808439,0.507808439,33.75,7.5,1
6899.1,2459722,5.56249,0.508191608,0.508191608,16.25,20,1
6899.3,2459722,1.18624,0.508230975,0.508230975,39.99,21.25,1
6899.1,2459722,1.18375,0.508450965,0.508450965,20,21.25,1
6899.2,2459722,8.3775,0.509204461,0.509204461,11.25,18.75,1
6899.4,2459722,0.53125,0.509472055,0.509472055,30,28.75,1
6899.2,2459722,4.44625,0.510860009,0.510860009,31.25,36.24,1
6899.3,2459722,8.6475,0.510881975,0.510881975,22.49,12.5,1
6899.3,2459722,2.85376,0.511056836,0.511056836,37.5,8.74,1
6899.1,2459722,1.0875,0.512590741,0.512590741,41.26,12.5,1
6899.4,2459722,3.08375,0.512621884,0.512621884,32.51,37.51,1
6899.1,2459722,15.79625,0.514492615,0.514492615,15,8.75,1
6899.4,2459722,4.5725,0.515372836,0.515372836,37.5,17.5,1
6899.4,2459722,1.0925,0.515808301,0.515808301,36.26,12.51,1
6899.4,2459722,1.7025,0.515834179,0.515834179,30,18.75,1
6899.1,2459722,7.76625,0.516289692,0.516289692,13.74,14.99,1
6899.4,2459722,0.70126,0.517725668,0.517725668,31.25,20,1
6899.2,2459722,2.44875,0.517907025,0.517907025,31.24,10,1
6899.1,2459722,0.60249,0.518562294,0.518562294,28.74,25,1
6899.1,2459722,13.46626,0.521061846,0.521061846,20,19.99,1
6899.2,2459722,0.5225,0.521394669,0.521394669,40,24.99,1
6899.2,2459722,2.09,0.523466578,0.523466578,46.25,36.25,1
6899.1,2459722,2.39376,0.524814452,0.524814452,23.75,15,1
6899.4,2459722,1.05625,0.525043791,0.525043791,33.76,25.01,1
6899.2,2459722,0.5675,0.526293332,0.526293332,35,16.26,1
6899.4,2459722,3.96,0.526343984,0.526343984,38.75,23.76,1
6899.2,2459722,4.89,0.529995028,0.529995028,32.49,15,1
6899.3,2459722,0.91875,0.530673717,0.530673717,41.26,31.26,1
6899.1,2459722,2.51376,0.531166393,0.531166393,25,15,1
6899.2,2459722,1.08125,0.531458478,0.531458478,36.25,22.5,1
6899.2,2459722,1.91376,0.532465875,0.532465875,36.26,26.24,1
6899.2,2459722,0.7075,0.532932997,0.532932997,22.5,30,1
6899.2,2459722,1.365,0.533401373,0.533401373,37.5,42.49,1
6899.1,2459722,13.09625,0.536083912,0.536083912,10,13.75,1
6899.1,2459722,7.435,0.536314112,0.536314112,22.49,34.99,1
6899.2,2459722,19.48,0.536867153,0.536867153,22.5,22.5,1
6899.2,2459722,0.5825,0.538660819,0.538660819,25.01,31.25,1
6899.1,2459722,1.49875,0.538745638,0.538745638,36.25,19.99,1
6899.3,2459722,4.0825,0.542398617,0.542398617,39.99,25,1
6899.4,2459722,0.53375,0.542775623,0.542775623,38.74,10,1
