#,channelNumb,JulianDay,PossibleDecayLength(MicroSeconds),StartDecay,EndDecay,FirstSignalTimeOverThreshold(nanoseconds),SecondSignalTimeoverThreshold(nanoseconds),PossibleDecayNumber
6899,2,2458256,1.22125,0.320922562,0.320922562,26.24,5,1
6899,4,2458256,1.21499,0.320922562,0.320922562,27.5,28.75,1
6899,3,2458256,3.7475,0.321208281,0.321208281,40,36.25,1
6899,2,2458256,2.8925,0.322914143,0.322914143,27.51,15,1
6899,1,2458256,0.81875,0.324857959,0.324857959,25,22.51,1
6899,4,2458256,0.81874,0.324857959,0.324857959,23.75,23.76,1
6899,4,2458256,2.05875,0.325322666,0.325322666,46.25,30,1
6899,3,2458256,2.05376,0.325322666,0.325322666,38.75,42.5,1
6899,1,2458256,0.49625,0.326120828,0.326120828,32.5,21.25,1
6899,2,2458256,0.49375,0.326120828,0.326120828,41.25,38.75,1
6899,1,2458256,0.84624,0.326574076,0.326574076,33.75,15,1
6899,2,2458256,0.84875,0.326574076,0.326574076,38.75,7.5,1
6899,2,2458256,5.6775,0.327626704,0.327626704,43.76,32.5,1
6899,1,2458256,2.33,0.327703956,0.327703956,33.75,17.5,1
6899,2,2458256,2.335,0.327703956,0.327703956,42.5,8.75,1
6899,3,2458256,6.6775,0.33258559,0.33258559,52.5,30,1
6899,2,2458256,6.65875,0.33258559,0.33258559,20,13.75,1
6899,2,2458256,0.465,0.334274623,0.334274623,36.25,17.5,1
6899,3,2458256,8.88874,0.335812391,0.335812391,23.75,37.5,1
6899,3,2458256,0.31751,0.335815135,0.335815135,36.25,32.5,1
6899,1,2458256,1.215,0.33620359,0.33620359,26.25,20,1
6899,3,2458256,1.21501,0.33620359,0.33620359,45,26.24,1
6899,1,2458256,2.57124,0.336327844,0.336327844,26.25,17.5,1
6899,3,2458256,2.57,0.336327844,0.336327844,47.5,23.75,1
6899,4,2458256,1.07376,0.338947008,0.338947008,28.75,25,1
6899,3,2458256,1.07125,0.338947008,0.338947008,32.5,28.74,1
6899,1,2458256,3.78626,0.340097414,0.340097414,27.5,21.25,1
6899,4,2458256,3.78499,0.340097414,0.340097414,37.5,8.75,1
6899,1,2458256,1.01499,0.341386755,0.341386755,25,11.25,1
6899,3,2458256,1.01624,0.341386755,0.341386755,38.75,11.25,1
6899,2,2458256,0.72874,0.342202418,0.342202418,46.25,20,1
6899,4,2458256,5.10251,0.343436146,0.343436146,33.75,18.75,1
6899,3,2458256,5.1,0.343436146,0.343436146,36.25,25,1
6899,2,2458256,6.0825,0.345514374,0.345514374,38.75,12.5,1
6899,4,2458256,0.56,0.346641143,0.346641143,41.26,8.75,1
6899,3,2458256,0.5575,0.346641143,0.346641143,32.5,15,1
6899,1,2458256,2.2125,0.347753932,0.347753932,23.75,16.25,1
6899,3,2458256,2.2125,0.347753932,0.347753932,33.75,23.75,1
6899,2,2458256,1.6825,0.348603824,0.348603824,37.5,28.75,1
6899,4,2458256,0.53625,0.351200108,0.351200108,37.5,18.75,1
6899,1,2458256,1.38501,0.351565974,0.351565974,37.5,22.49,1
6899,2,2458256,1.38625,0.351565974,0.351565974,37.5,11.25,1
6899,4,2458256,2.86624,0.356242396,0.356242396,40,30,1
6899,3,2458256,2.8675,0.356242396,0.356242396,32.5,26.26,1
6899,3,2458256,1.5175,0.356579301,0.356579301,31.25,12.5,1
6899,3,2458256,1.48375,0.356579301,0.356579301,20,12.5,1
6899,4,2458256,3.44499,0.35932816,0.35932816,42.5,33.75,1
6899,3,2458256,0.44375,0.359405314,0.359405314,46.25,26.24,1
6899,3,2458256,4.89375,0.359886524,0.359886524,40,16.25,1
6899,2,2458256,4.88499,0.359886524,0.359886524,36.25,27.51,1
6899,1,2458256,8.52875,0.36001699,0.36001699,18.75,18.75,1
6899,3,2458256,8.52875,0.36001699,0.36001699,32.5,22.49,1
6899,4,2458256,8.52625,0.36001699,0.36001699,20,20,1
6899,1,2458256,0.64,0.362335773,0.362335773,16.25,17.5,1
6899,4,2458256,0.48624,0.366830596,0.366830596,26.24,7.5,1
6899,3,2458256,0.48249,0.366830596,0.366830596,26.24,17.5,1
6899,3,2458256,1.29626,0.374615162,0.374615162,26.25,16.25,1
6899,4,2458256,1.9775,0.37531189,0.37531189,32.5,13.75,1
6899,4,2458256,9.50249,0.375801445,0.375801445,28.75,22.5,1
6899,4,2458256,0.72499,0.377234541,0.377234541,32.5,20,1
6899,1,2458256,9.43125,0.378955133,0.378955133,13.75,35,1
6899,2,2458256,0.35375,0.379827843,0.379827843,21.24,28.74,1
6899,2,2458256,0.38125,0.380582047,0.380582047,41.25,25,1
6899,2,2458256,1.65249,0.380973236,0.380973236,44.99,16.24,1
6899,2,2458256,2.52499,0.381599233,0.381599233,42.5,17.51,1
6899,2,2458256,3.7925,0.38355188,0.38355188,33.75,33.75,1
6899,1,2458256,9.30124,0.384270895,0.384270895,23.74,20,1
6899,3,2458256,6.59751,0.384474486,0.384474486,47.5,28.75,1
6899,2,2458256,6.5975,0.384474486,0.384474486,37.5,23.75,1
6899,4,2458256,3.50126,0.384583563,0.384583563,41.25,11.26,1
6899,3,2458256,3.49501,0.384583563,0.384583563,35,31.25,1
6899,3,2458256,3.61375,0.386041443,0.386041443,43.75,16.25,1
6899,1,2458256,4.11375,0.387756751,0.387756751,25,12.5,1
6899,3,2458256,4.11251,0.387756751,0.387756751,50.01,27.5,1
6899,2,2458256,3.365,0.38801642,0.38801642,23.74,34.99,1
6899,4,2458256,3.3625,0.38801642,0.38801642,17.5,22.49,1
6899,4,2458256,2.04751,0.388950257,0.388950257,42.51,12.5,1
6899,3,2458256,2.045,0.388950257,0.388950257,41.26,23.75,1
6899,1,2458256,1.60874,0.389639431,0.389639431,32.5,25,1
6899,2,2458256,1.62125,0.389639431,0.389639431,42.5,6.25,1
6899,2,2458256,1.4825,0.390317829,0.390317829,40,26.26,1
6899,3,2458256,1.12375,0.390454293,0.390454293,21.25,40,1
6899,4,2458256,0.73126,0.39212579,0.39212579,43.75,33.75,1
6899,3,2458256,0.72751,0.39212579,0.39212579,58.75,50,1
6899,3,2458256,6.52375,0.392336062,0.392336062,22.5,41.26,1
6899,4,2458256,6.52625,0.392336062,0.392336062,15.01,18.76,1
6899,3,2458256,1.65624,0.392414698,0.392414698,28.75,21.25,1
6899,1,2458256,1.65,0.392414698,0.392414698,13.75,10,1
6899,2,2458256,1.65001,0.392414698,0.392414698,15,21.25,1
6899,4,2458256,1.65501,0.392414698,0.392414698,13.75,7.49,1
6899,1,2458256,2.36,0.392750798,0.392750798,25,13.75,1
6899,3,2458256,2.36,0.392750798,0.392750798,45,26.25,1
6899,1,2458256,9.06749,0.393919666,0.393919666,31.24,18.75,1
6899,2,2458256,9.06625,0.393919666,0.393919666,41.25,30,1
6899,2,2458256,4.7925,0.394756189,0.394756189,33.76,42.49,1
6899,4,2458256,5.10499,0.395957324,0.395957324,33.75,13.75,1
6899,2,2458256,4.00748,0.396582118,0.396582119,43.74,42.51,1
6899,4,2458256,9.42999,0.396941529,0.396941529,27.5,23.75,1
6899,2,2458256,1.2575,0.39704565,0.39704565,43.75,30,1
6899,1,2458256,7.27375,0.397358765,0.397358765,24.99,14.99,1
